Topic,URL,Start Time
Security 101 I,https://zoom.us/rec/share/f5uZp0xUCbMkrCbTiDvHi6gQOFSQmEW4RFftQIyExAknlOMSJLRoMjzW4jmF8zxx.0ZotoaI4EInW_SEW,"Sep 25, 2023 20:40:56"
Security 101 II,https://zoom.us/rec/share/DykD9QUSW49yIAAxFfbfIyNU8V0NF_TeCwvsNRxnQRN25RRBXbK9swS0Q3xJIBo2.XJQhkhGBX4W2PqKB,"Sep 27, 2023 20:16:20"
Security 101 III,https://zoom.us/rec/share/MkYkE4WGVwuraQoCHlRRXY1ERd_fjpLH84HyhfD3XzeyXpo9pekUkVXiiGdlJFFh.8kieKCbgE4ODbDGC,"Sep 28, 2023 20:45:33"
"Governance, Risk, and Compliance I",https://zoom.us/rec/share/hvrpu1SRhTKnk22uWLUrtGCUkT3Tmi04Xn7KtS8TrL7yJQYgeoAw1Ot7YNwAMM7m.RGiLHw4vGmxzx_G2,"Oct 02, 2023 20:44:56"
"Governance, Risk, and Compliance II",https://zoom.us/rec/share/OhF4uZ2G8J8aVHdgzsgFEp7xlF-oYji4skvqaGc9qgUQ3VCFVkoAZfxMXBq75gU8.d8RV0uIr3y1D3Kri,"Oct 04, 2023 20:45:58"
"Governance, Risk, and Compliance III",https://zoom.us/rec/share/ZMcehzZFkjSQD8xLqCS-WlZPIHKayBoQQ_m2XtCPMA9TubzHmTv618dCrtnQUoge.CdgqUBNObjPMOSqL,"Oct 05, 2023 20:47:52"
Introduction to Terminal and Bash I,https://zoom.us/rec/share/EpYKvStWfd9NLrgyRNIqdIdYrX6-1-Mlheq8Z3-hQUlkf2vIhlCYVvYrRLoiRine.lqrJJDScil9wK7ST,"Oct 11, 2023 20:43:48"
Introduction to Terminal and Bash II,https://zoom.us/rec/share/eew6TinOHw4P9kILsAFPcXOmzhJLKsVT5Xl_qL5LjuqWRP4k-pNtvemJft-jTt5p.XiqcwJq6Dg7gpRfi,"Oct 12, 2023 20:44:05"
Introduction to Terminal and Bash III,https://zoom.us/rec/share/CksUL2-i-_qSyylby3XUscJ33iCH5KWlaFlC0YaFzW9w3Hp8hU8pTv-w5eT8RcLS.DnKfPfpyULF5mfQm,"Oct 16, 2023 20:46:48"
Linux Administration and Hardening I,https://zoom.us/rec/share/S84Vka9zZwnWRvu6XP0somGTePBbE47mEtHamOCpXEFBNiTt1EoyJKDPtlaS4yzc.JYIRbT7kApR4buoa,"Oct 18, 2023 20:45:34"
Linux Administration and Hardening II,https://zoom.us/rec/share/aLt2MKwKYyUhua1vTOqrZ8bAq3kRnOLMJiT6ta2E-bFPEeHqA8sq9wI-DTLvfZlH.Gf2LS0hoHu9mrxwy,"Oct 19, 2023 20:45:00"
Linux Administration and Hardening III,https://zoom.us/rec/share/CueK4n6cabMvShv9_IZRg-5hO7hlnQUlUfLtQGP5cDQjw53Vj6RvMDb5AzoX5ma5.4R66KTlfyQEDDBcM,"Oct 23, 2023 20:45:23"
Linux Archiving and Logging Data I,https://zoom.us/rec/share/KTiXrA2Rfk1NgIyl-SV8cM_LBVvzFiNfvrFF-0Hy4DwL6y0XEzAcLo24CYQFw4d7.p1NN3Q0AR1-rScAX,"Oct 25, 2023 20:44:29"
Linux Archiving and Logging Data II,https://zoom.us/rec/share/cJkjTLKmJYMl3B3YCQZY6FSJ6Zo6OcnVDJ-XW8JYnoSGPb0aqg0rpbEfkHgiFjef.TVvhC1dB89ZW1W0o,"Oct 26, 2023 20:48:12"
Linux Archiving and Logging Data III,https://zoom.us/rec/share/MYe_-rWu1tQzi4OIFL_tLFKIsxQT1Uz6oph8beWV3QdSeoszkiyydyYLeTjVul6X.o2wH9md2bN0qkjFy,"Oct 30, 2023 20:44:31"
Bash Scripting and Programming I,https://zoom.us/rec/share/pVOBcFPNI2vBKZHYetiZx-ahcy5IBN0QfJjiFSaJ0u4xVgBKUwVi2Hv7h4uG_Ba-.yU5qe4PaR8xyBSEx,"Nov 01, 2023 20:45:56"
Bash Scripting and Programming II,https://zoom.us/rec/share/cXBkHhJ5VLmemjrknaIR8AXh-KF6aqVvQ8mGfRtruJpiP6Pt5CT7hr1RyK7Cg9Q.n4W0oIBx4iZQGHMH,"Nov 02, 2023 20:44:28"
Bash Scripting and Programming III,https://zoom.us/rec/share/X21x4ck23UWlV8XQcXecRIQZcrykWnuSpfmDJRw2G55pBOklnDmY2I5FwnWTua_u.mrsuP_ahecEKXIO5,"Nov 06, 2023 20:44:03"
Windows Administration and Hardening I,https://zoom.us/rec/share/gUOju2rEyqQdtmcRAPqN-6q7DPWRrLpDf_L4x_Qt6fh9pqi5d4OBPwKzh5b3rWlb.mIeKtxxnhJafkApz,"Nov 08, 2023 20:44:29"
Windows Administration and Hardening II,https://zoom.us/rec/share/qzLYyQ72pcUGBO_3NkMetytc8AZPyPBDjt_vlPkVD3Aqg7RxeBTkIRGLP8MH1AiX.bxB5ZxsZf1ziQQvD,"Nov 09, 2023 20:46:31"
Windows Administration and Hardening III,https://zoom.us/rec/share/3lkNKKC5Uukshh9fKYn_BNxr48jpW0WcTiYSQH8I8j-Jb_OFtgzcdbq9XFtC4mo2.f_C2ORzOzBoyGYI9,"Nov 13, 2023 20:45:44"
Networking Fundamentals I,https://zoom.us/rec/share/LqRrqjTMuwZ5HGOKYH7AFOzT_Dg9wfXqpAtJgLUwZHFRYUhlQxkpsmmMPUozm6pj.4-dORb_dUgYFWTIh,"Nov 15, 2023 20:47:05"
Networking Fundamentals II,https://zoom.us/rec/share/gk3PVS9-RRC18106rhLrh3ipGPIkNwGNasEsY-jEVKXQHP0jFKJ7A5-_FIunVAry.Bf3EFfbeWt9EGeAs,"Nov 16, 2023 20:47:52"
Networking Fundamentals III,https://zoom.us/rec/share/E8tALF7hgBv02xwZhwlDUrR4Fg6HNCqYCTswX6BJ7kr1O-sMNpLq4CTyfIxO__kR.B-3K6u8Zj9YKb1j3,"Nov 20, 2023 20:51:28"
Networking Fundamentals IV and CTF Review I,https://zoom.us/rec/share/WwLvmQLBBiWdTfIZCM88CrSsYaQo5S0rPKLSRQ_ytM99rtQhLXPHppMstLNwh8Z-.tJyYuBvo_AWJsJ49,"Nov 22, 2023 20:45:52"
Networking Fundamentals V and CTF Review II,https://zoom.us/rec/share/KynwKI22SX_OAU2BzdgtGEcZrSMs0gtEhEhv_SP41cDN8lfUmIattBs4E0OVpZtQ.pQrHlKF_9UqFFoeW,"Nov 27, 2023 20:45:05"
Networking Fundamentals VI and CTF Review III,https://zoom.us/rec/share/JBO05FZinpC_cvU2FgI0_2BrK7ZY7lS_2Y1mAOZUZ4ROZa9IbznAUFnd8l_8VYea.mOZyoW_r9DSXE4QJ,"Nov 29, 2023 20:45:31"
Cryptography I,https://zoom.us/rec/share/TBicwiXHPZdodHUHpD6nTAq4SbkGWpyoWNRpc5Y7QwNVz2aDlEJ5f3r2k1ZAg6XL.g2jtN3UEawBN8L5t,"Nov 30, 2023 20:47:43"
Cryptography II,https://zoom.us/rec/share/SHP40NEMpS3UERfVRDnEwLeRxzmQSLHm0uzTgbGJkGt2uJszAK9fmOF11R9A1f7n.tMrLP14QW476DzCX,"Dec 04, 2023 20:49:35"
Cryptography III,https://zoom.us/rec/share/1H3U2kf66Oo9ePe9OFOWfw4bIeAvfs3QbMgjKYSVCIgGsGNPjIb809LPXbgpCmam.aTfg9_RJ37EwOven,"Dec 06, 2023 20:47:31"
Network Security I,https://zoom.us/rec/share/SJUr8rFhRPQO4GBUNlIVVEVL79krJpw0zP-ucRIQG2XKFPTBl4KDmlHNxZskZsIG.GF6z6vquarSYTd3P,"Dec 07, 2023 20:46:19"
Network Security II,https://zoom.us/rec/share/UNLIOCa-w16NmAxX5VyubRYg3i6AEIFkF54JEoFHL0gxHaAKlBRvf3GspKF3Q9Uh.ikUqL1RFq7CyqCds,"Dec 11, 2023 20:43:24"
Network Security III,https://zoom.us/rec/share/44maQ1vEZT1MXPKM7fxLKOZG7X0L1KNlL31XzOTefuYO2QodeZPPVnVFfdo0eGTf.Fxg3OFYdavY6rRIW,"Dec 13, 2023 20:45:13"
Web Development I,https://zoom.us/rec/share/WD3mBLXQcpl8tu3LxpjJqgc4-b4fxs41LgDzljzS3Px7mHyzz81ocrgL6t17dDLQ.PAHGbHeC6LU3aACy,"Dec 14, 2023 20:47:42"
Web Development II,https://zoom.us/rec/share/U1yxk9MPzlwPf9_DO8G9JgoOzXnuyhccPQHnKHIctorEuz60Bkjb8TAaq_W2D0qH.09TQVMgVfqoX5TQT,"Dec 18, 2023 20:49:55"
Web Vulnerabilities and Hardening I,https://zoom.us/rec/share/u9QV2Oa9O_mAgGDBQYXyoaK8tJeU8WneccAWvrs_dlaEckJoJGcGwSdEe4PR58hF.wTIUAzlcI5UxSWmy,"Dec 20, 2023 20:44:36"
Web Vulnerabilities and Hardening II,https://zoom.us/rec/share/Z7Art6c3gjWYoNy6iBDG6Ho211vI1eKCCJ2ksQhY3bgAI8_nKxUPtkF6SRSGsFl0.2u6pPH3aI2_bKg94,"Dec 21, 2023 20:53:11"
Web Vulnerabilities and Hardening III,https://zoom.us/rec/share/pmq-7iWaBEj58bmT8lBPqECUKyKY3fH_X0C4iXXH2Wae7KbuQedmHa9AIflI9uxk.ydPgeSPaHzBJLp11,"Jan 03, 2024 20:45:27"
Cloud Security and Virtualization I,https://zoom.us/rec/share/nlW4JXyL0FZ2vE26N2t5DXWW8GQBpvmMULmnkTIXLHR8ZkNnjFU4hjtyreUBln6H.C511Qs2d11-PGkI6,"Jan 04, 2024 20:46:22"
Cloud Security and Virtualization II,https://zoom.us/rec/share/63w46tidq9_5Ohz9SCNlyfXs-ctDFMlgB_1m7Xk1ccW7zk-8CJd843mwR5RXi1Gy.LaM0AzFM-CDrS3Od,"Jan 08, 2024 20:45:49"
Cloud Security and Virtualization III,https://zoom.us/rec/share/EmosNWvnXlWzsBjp7NEZRiewfgLqn05eIwxOSRhJSSVTWlsCx47KuoGsXeesWOEa.qzFVStcNVkRNxSve,"Jan 10, 2024 20:49:20"
Cloud Security and Virtualization IV,https://zoom.us/rec/share/ZjjmRawwLJAIh1R7dj7p3O9gT6VAlYRhlDgumElo2KJ-yW6NBEtFU4XWcTVU-aDj.2MCGmrt4tMg3_t87,"Jan 11, 2024 20:44:07"
Project 1: Security Cloud Apps I,https://zoom.us/rec/share/IcrvjR-b9Uc2-voIUR5AWMb7OaRKadOyJwkqcfk_mOw37GgXlloQ81lWEFG1prGU.-XAHhOW4UHprKsiR,"Jan 17, 2024 20:41:51"
Project 1: Security Cloud Apps II,https://zoom.us/rec/share/gRNgN4qLHQHajHIFh0esYiV02YdM0zVuNDsG5TOR8k9B-Wc4eQSHhEazEjQFHSQq.cWb-DklcloD3p6V1,"Jan 18, 2024 20:52:54"
Project 1: Security Cloud Apps III,https://zoom.us/rec/share/eL5VJ8O2frhOKweyecqflq3s0IHehr3phrbCXNd0ZizfFYpqaYCkfxvAcosS1gVN.5iYAO01H0z8bftOt,"Jan 22, 2024 20:45:41"
Penetration Testing I,https://zoom.us/rec/share/KJxmQHEpmE8DMLLyJcLpYy-UHA69RgJyPWTckg-LpJDTSpleWU6QLzjPa9b_ONh4.rbXJ6mAdBNYsKcYr,"Jan 24, 2024 20:47:52"
Penetration Testing II,https://zoom.us/rec/share/i2Q8K4q1c3lSO4xd4tzfGoi-X4NGeQGAf92uYCh-E_-Qh5abTFrA_YO-YxhvKvmB.oxCGnppLlCbghOuk,"Jan 25, 2024 20:49:37"
Penetration Testing III,https://zoom.us/rec/share/5kRqCw9aU6p49VcxFY9V8Yc-s3kxEnNp2GkzaLhjMvUbevbCR8MTn5vbnCX6_ire.Qs5DudMgRUkRuMGv,"Jan 31, 2024 20:45:45"
Penetration Testing IV,https://zoom.us/rec/share/_qs5aO2jabRDBZCJk7HYMrTSRKXpkxJcTJ41vx0rqF-2azAuy9XwrbtcNsIz9KBo.Y4jSKi2PbYeCBI9S,"Jan 31, 2024 21:17:16"
Penetration Testing V,https://zoom.us/rec/share/YYrFD-cDQJaWKarfqeZ0_Wf-3ZEu2H6sWcSaw6-Duy_9Ecbn6Sbcg8nPhW1g35I.87A17FUkcPlKEI8Z,"Feb 01, 2024 20:46:23"
Penetration Testing VI,https://zoom.us/rec/share/foLJPlVhXRUkh2lVbCvGCqrUNJ5LXCfgBmYu32l2N0kSknD--TUr_NuA9Bg6FSs.o20Sth2aG01Wcp3G,"Feb 05, 2024 20:46:21"
Penetration Testing VII,https://zoom.us/rec/share/nAvX7pNojPUYJuNddYoTboySdDai6GH7EpnhzZN9P156E4JhL0M0pVOoz3DpKO44.rGakzX8Uu8ODdbLX,"Feb 07, 2024 20:46:07"
Project 2: Offensive Security CTF I,https://zoom.us/rec/share/HXlYl3BId1iYC9FPiJtF0Mg7UlxNLjQc5ksa1CGdo6Y_12utYyupTUbxJnFulyxJ.vZEWFQxAcRbxuCET,"Feb 08, 2024 20:48:51"
Project 2: Offensive Security CTF II,https://zoom.us/rec/share/CH6GxkCyPlMyR_vkJA5luZ_53YCvOuVWsaqxxdKEU8C-Ord7I9A7Z0MISDd37Zf2.X_Kexl0EnrxR8TF0,"Feb 12, 2024 20:44:57"
Project 2: Offensive Security CTF III,https://zoom.us/rec/share/CBZB6MfDfx6fN_MNnoHgZ0CcuJa6BzPdgbmkxxAwMgwV9R2ciGa3Qr715Ud1KjPU.PVbxfF4zg9vLSXT9,"Feb 14, 2024 20:44:46"
SIEMS I,https://zoom.us/rec/share/gEZhGLxKjd2xv17cemveOsR38t6Gtn87HRpnMKH2cHaHCJYbRGakyjFo8DzS4vhZ.i4Q31vnGOjo6MIzl,"Feb 15, 2024 20:47:27"
SIEMS II,https://zoom.us/rec/share/OqZ3BLJfewzw_-iQYbAgTO1rBATsRTBwCE_B12Zd1V-_ll-rPNSvma8cATE-mlCD.QsZSFWCtGOjIuB1A,"Feb 21, 2024 20:45:23"
SIEMS III,https://zoom.us/rec/share/qRet2pTBektnUWd67BJ-8qOEuzFNYaMh7CDvHaytnrKfVMBQvAND-nkT5jFSI7lU.iitjE46vwN3IJQAo,"Feb 22, 2024 20:51:58"
SIEMS IV,https://zoom.us/rec/share/doLoVwDdkiHqSOdk73XU2v1_U7GhvRiyPWeGODh-cqWJkiUMA31Cr4uz2gfV7tEf.c1lp3bVfH-g7iuu1,"Feb 26, 2024 20:53:00"
SIEMS V,https://zoom.us/rec/share/-i-m2p3PMSceq27rE9mMAAozBarsaoNm6_wqKXje08v1oNg5sl23bzClAKEy-KX4.--JWZwnnHvXMeML8,"Feb 28, 2024 20:44:31"
Forensics I,https://zoom.us/rec/share/cTm6e2-R0LDNRL4THIzOwa7PrxnFMf2Slc5RJqFKXaPy8N4SAHqOmjloawHogJG1.GtMFbE7sFBp1LsYB,"Feb 29, 2024 20:46:00"
Forensics II,https://zoom.us/rec/share/nyBYi0FC_TfSuRcAWKxr_MohSS3FMERMQ7M2iOdpVDT6JzVaAVCpdavAHTmIa14z.tnNA-9TklASWeMcr,"Mar 04, 2024 20:46:44"
Forensics III,https://zoom.us/rec/share/TASn_-d_hVr75QpPhZTehESoMFJNgick2_gVrparcNXkZXpv8gY4kcK4zim3tFee.i-cufNMBIaduAKBB,"Mar 06, 2024 20:47:56"
Project 3: Building a Sec Monitoring Env I,https://zoom.us/rec/share/-j7gazPpFlEPa87oPIreZEIZ2t8RS2WcYj1hxHvo0_whuPRhnY4RtLSgloITuTbP.C_5vNAISQGmK3--b,"Mar 07, 2024 20:46:33"
Project 3: Building a Sec Monitoring Env II,https://zoom.us/rec/share/Yu9VXseJQNcJ7jY1P2GR8bEEC5wariRliQcFwbik5fg48CH1t93ePhRWTOQkNXh2.qSZAbT0gn8Ts5AZM,"Mar 11, 2024 20:15:15"
Project 3: Building a Sec Monitoring Env III,https://zoom.us/rec/share/XbRIuRFEYVTJIEe8BHvs1vyLJX0JEBKBgZc2CiYoQ2t-F7lsfxzC1q3TBFzOmunV.3PZVpd0g-GqPyEkA,"Mar 13, 2024 20:49:55"
Career/Cert Prep I,https://zoom.us/rec/share/zpGR-fsTsr0YkWygYAhBwrUXkcjbNVN1q9lH1mo_UNweZtpcBX12jy2JmWq75I10.67BwpPo1-_4MX89p,"Mar 14, 2024 20:46:53"
Career/Cert Prep II,https://zoom.us/rec/share/MV6VSfLq88Vx2t5FBvTlQ8jgIf9f6u8cwJKSs7X14aadfoIo01zBx7LnF9OrueZl.KFCdECT5f_m4KTVh,"Mar 18, 2024 20:43:03"
Career/Cert Prep III,https://zoom.us/rec/share/hemZ0y0Lj5QQ43uu9E2-CTN4roGfDEEoeBXySCDj8dU3Sj3bTvmhXLSu15afz8A3.5WqxK4FB9pirHGbi,"Mar 20, 2024 20:49:13"
Project 4: bootCon I,https://zoom.us/rec/share/BYTS8F_4nRAWnb6PYglSbkkWYpOYTOm3-lYnDCtPME44-BbHeFaJM31fVJvirUbr.Mj_r80cXgNWNYkjW,"Mar 21, 2024 20:47:12"
Project 4: bootCon II,https://zoom.us/rec/share/zjJyGhWNll3BgwvdVlaWpGcZRUzxV1cpNJCPOKYuFSKtzwdYzNLGlboWLWHZ9yfF.ALYi_0EAkHGFN8Di,"Mar 25, 2024 20:49:02"
Project 4: bootCon III,.https://zoom.us/rec/share/lVMPll4CgAjbFV_IFOTH3POtKOGrndrn0NqccuhhKq1sLspkhznA833SaQQUprZv.-3tOTOSfivdOMb-g,"Mar 27, 2024 20:50:26"
